mu_pred,conf_pred,iter_pred
42.5283026546791,5,4
37.4766035133812,5.8,5
39.5629813283768,7.4,7
78.8349205851304,5.2,10
42.8473514873923,9.6,5
31.9770358753206,3.4,3
67.1413074878722,5.6,5
72.4705017739796,8.6,10
66.3083145338818,9.2,3
43.4376770396439,6.4,11
40.8026300979928,15.6,20
45.8683845681366,12.2,3
57.1188143035451,7.2,4
59.1561350564331,8.2,5
33.7520880373938,8.4,5
50.4038703846876,9,6
57.8232390607833,15.6,8
50.4818963728594,4.2,2
34.0598790184253,7.2,6
91.5393591529039,2.6,5
47.6570316124536,7.6,8
56.6270003103551,9.6,15
60.1798376146353,6.8,3
48.209863377416,8.2,4
25.7470146464915,6.4,6
78.5682732464135,7,4
67.334598592363,7.2,5
43.1030935519667,7.6,11
58.7903672962571,6.4,4
76.8873915694237,3,3
91.536368683846,2,4
35.1127445230287,9,6
75.5200485112058,5.8,4
53.3861817620489,1.4,3
61.5569659648442,5.2,5
37.2567268891628,9.8,5
49.6978692973311,11,9
48.5344278901971,1.6,3
42.8193456209424,9.6,10
86.4139141234194,3.8,4
69.4158303489964,10.6,3
48.0540555030085,10.6,5
37.1109898605146,7,7
43.0764603963058,11.2,10
48.7302325843161,9.4,4
58.3913652564096,2.2,3
87.0562798682305,5.4,7
53.4203215558789,15,4
58.4786347446077,11,11
7.66239233736006,0.6,3
11.5006139032352,4.6,10
66.1492385745492,1,4
66.5955364502523,8.4,6
54.8195562609603,6.4,4
57.8699680173982,6.4,3
76.7115465466513,3,3
42.3126459659414,20.2,37
54.5198076088243,4,6
51.7345638103891,3,3
68.183714044672,2.2,4
59.2882169905197,10,6
8.53210211126414,3.4,4
36.0516118110302,5,3
37.301551495892,6.2,5
61.1763312092654,8.2,3
39.114050479459,5.2,4
23.1579417075157,6.6,15
37.7453764603934,6.8,4
31.5028993630625,8.4,13
67.4572640471755,9,6
44.3087550569645,8,4
27.1315837442579,7.2,6
32.9847977477519,8.8,8
52.8239252369686,6,8
57.3799601002914,4,8
49.7661030634532,7.2,13
38.4074942632909,7.2,11
66.2697062930663,8.8,6
64.8775850563391,10,5
52.0488709646627,10.2,5
60.0111877849508,9.8,4
48.0064411446942,5.8,4
44.5755756965315,3.4,5
80.7176481879984,5,4
37.3786687226768,6,6
65.0176321902999,8.2,8
51.6398903027958,6.4,4
39.2749097375301,7.4,4
42.4525469162768,7.8,9
67.7946343788329,6.2,3
46.9881777904848,9.2,22
44.4471475157901,3.4,4
37.8701469031903,9.6,21
46.4509522259042,7,3
59.224842771834,8.6,3
43.5809799807821,7.6,6
52.7530087602339,10,5
36.0434374659464,4.8,8
47.3398056930668,6.2,5
48.9925889929233,11.6,6
61.442738812719,6,4
52.1679016330066,9.8,12
53.8225740809031,8.8,11
60.4002727313106,1.4,4
69.3714691330664,4.2,4
60.6759108741501,6.6,4
52.0592507873392,8.8,6
51.1205406933701,9.2,10
10.5567263275772,1,4
69.9030926334913,8.2,14
56.3853206407851,8.8,4
42.8666547890355,8.6,5
45.4611731145057,8.4,10
54.3085483200168,5.4,12
47.9197971082746,2.8,6
62.4541569131277,15.2,17
35.6980356066282,3.2,3
26.9630789133233,6.6,7
31.8024400539918,9.6,15
46.3440840566827,7.6,7
40.053106820758,7,6
58.9439392252032,7.6,3
38.0009128453313,12.4,4
66.5496071591747,4.2,3
53.9920483713443,4.2,5
77.4132832540004,13.2,4
52.041836478964,8,6
55.1350989020338,7.6,13
47.4228926743014,7.6,4
53.3360978679331,9.2,17
19.7017659136969,5,4
33.3433021117371,8.4,4
49.4886663037561,8.4,8
73.5203667270599,5,4
68.005169239838,11.2,16
66.9890742837359,2.4,3
54.8438475978008,15.4,18
38.5748096425899,8.8,3
63.2428503945339,6.8,10
34.5536273938318,11.2,2
56.2346645104425,10.8,4
70.6050184584299,17,4
35.386553982137,6.2,10
27.9452391105172,5.6,4
31.5887771191694,5.8,5
60.9753618178662,8.8,6
25.3501239354704,7.8,3
54.6963758018426,15.2,15
30.5879857182681,8.4,7
30.8800721628294,7.4,7
47.6566357121989,15.6,7
43.9029339757784,7.8,3
55.9977299659493,4.6,6
62.0003685998052,9.8,13
59.3774041280458,4.6,3
59.2951060463742,7.8,6
33.4214089279349,8,3
49.8995959546811,10.2,4
43.6399545435148,9.4,5
49.637795595963,6,6
45.2422271500158,8.2,13
75.6626015446075,4.6,13
36.4416578748871,7.2,10
39.9374296762311,10.6,16
53.7799637197583,7.8,4
68.4243079733092,6.4,6
72.3311312977493,9.6,5
31.8310649253855,8.8,9
33.6794361176408,3.6,4
60.5113034059427,10.2,9
55.5650742287176,8.6,4
36.3669164916001,8,7
72.4362501691533,9.8,8
47.0861730286716,8.4,7
41.7610156599924,1.4,4
35.0634327672875,13,19
74.6312173801305,9,6
46.8591297188378,5.8,6
36.8633331682478,10.6,4
28.1376120829039,10.2,7
34.5607783201092,5,3
33.8693200122343,7.4,2
55.9321295877546,9.6,5
58.7136621595111,6.2,4
48.7669753019514,11.2,4
68.2725196060489,12.2,3
6.88100376351708,0.2,4
58.2850783459589,8,3
27.8668651060804,8,4
48.363194349948,17.4,3
38.4067246789343,9.6,5
63.461592229927,16.4,42
43.7082895514258,8.2,21
65.2738178246746,5.8,7
31.9201878443572,13.2,11
59.2832953304523,3.6,3
36.2348319884271,7.8,7
29.9624012683806,9,8
59.049005665622,6.2,4
31.5230715596072,11.2,3
52.5742664837237,9.2,3
23.4711272159172,8.8,5
56.205907951938,9,7
47.5877487322207,7.2,3
51.3043759871568,11,5
39.0308460365709,14,22
21.5648635644617,5.8,4
53.0454592973479,5.6,12
45.3274063829948,7,5
39.2322170220911,6.8,6
72.5066863242906,5.2,5
51.3720416397066,5.4,6
48.3484822671917,5.8,3
52.1924595235904,10.4,4
33.1498359605939,7,12
32.3972528248028,10.4,3
54.6361966943213,7.8,10
74.0609749173945,6.4,4
61.373342061416,14.8,12
29.3886974301983,11,6
18.5957958916212,8.2,5
42.2466992863646,6.6,12
47.9295954680979,7,5
47.9346897820818,22.4,5
68.5447419902023,14.2,3
56.8163821631498,6.2,5
38.3318469383874,5.8,4
75.4869786637202,6.2,6
44.1662631786558,11.2,14
43.1637445690531,8.4,9
69.5215281279933,12.8,4
62.2572299792183,8,14
52.2543102340429,7,11
53.4016627945417,3.2,3
41.1689103376865,6.4,7
56.2436527185301,11,6
48.1753286251895,6,8
37.5119788685449,6,6
38.7891905770566,7.2,8
19.683424040945,4.8,5
82.389535588613,3.8,7
53.8719932093178,7.6,22
67.2563630890896,10.4,5
86.0762826013682,1.2,4
64.0038780367818,7,3
22.3747529240497,7.4,3
65.3186667511898,6,3
44.2166132723117,10.8,12
23.511293221455,1.2,5
62.2493134787141,8.2,8
40.9672818470956,2.6,4
44.1884812480408,12.2,2
41.9660495422231,10.6,3
15.8233436351415,7.8,11
70.263408479679,7.6,8
31.9044052875647,3.8,4
46.3153856083318,7.6,3
49.5068246725719,6,4
34.193919283945,6,6
35.2091136202776,2.2,4
61.7367785163431,6.2,4
47.5836927836333,8.2,11
43.2087353728846,7,5
48.2281706060083,9.4,14
