,Num_block,Block_ID,Trial_ID,Resp_loc,Resp_conf,Correct,RT_resp,RT_conf,Wager,N,x_mean,Sub_ID
436,1.0,3.0,137.0,52.0,16.0,0.0,4.9104342609934974,0.7899298179981997,0.0,6.0,42.4392091803601,9
437,1.0,3.0,138.0,60.0,32.0,1.0,1.730403714987915,0.7162285840022378,3.0,5.0,53.68772734721008,9
438,1.0,3.0,139.0,36.0,18.0,1.0,2.9863020369957667,1.6026800929976162,6.0,3.0,33.83876440659677,9
439,1.0,3.0,140.0,49.0,44.0,1.0,1.755370300001232,0.9561907729948871,2.0,4.0,53.32065681040081,9
440,1.0,3.0,141.0,58.0,12.0,1.0,2.536318440994364,0.9314593220042298,8.0,4.0,53.00171355343055,9
441,1.0,3.0,142.0,62.0,16.0,1.0,3.337091663997853,0.7507307980122278,7.0,3.0,69.07815525236491,9
442,1.0,3.0,143.0,53.0,36.0,1.0,1.5707213319983566,0.6219756349892123,2.0,6.0,60.16056401589261,9
443,1.0,3.0,144.0,15.0,8.0,1.0,2.065537079994101,0.7101947049959563,10.0,2.0,17.91668491165707,9
444,1.0,3.0,145.0,51.0,12.0,1.0,3.5708624019898707,0.6423415699973702,8.0,2.0,54.986051269836416,9
445,1.0,3.0,146.0,65.0,20.0,0.0,1.9537980830064043,1.7990514420089312,0.0,5.0,45.59872009613997,9
446,1.0,3.0,147.0,43.0,18.0,1.0,4.9501166050031316,0.8493373439996503,6.0,6.0,41.04066581860596,9
447,1.0,3.0,148.0,39.0,14.0,0.0,3.6717092270118883,0.7687216440099292,0.0,5.0,52.129768424221496,9
448,1.0,3.0,149.0,67.0,12.0,1.0,5.5587188780045835,0.970869651006069,8.0,3.0,68.08462084419573,9
449,1.0,3.0,150.0,52.0,80.0,1.0,2.992408042002353,1.931368346005911,0.0,2.0,70.10243750315414,9
450,0.0,4.0,1.0,70.625,14.75,1.0,1.6344444249989465,1.1040382619976299,7.0,5.0,70.38528582629706,9
451,0.0,4.0,2.0,60.25,0.0,0.0,1.0587125750025734,0.007715945001109503,0.0,6.0,57.63084703385177,9
452,0.0,4.0,3.0,56.625,7.75,1.0,1.6194144359906204,0.7522172419994604,10.0,4.0,53.51470152289393,9
453,0.0,4.0,4.0,39.125,11.75,1.0,0.955833164989599,0.48160891799489036,8.0,5.0,41.02103122889491,9
454,0.0,4.0,5.0,56.75,12.0,1.0,0.8377741279982729,0.7707063269917853,8.0,6.0,60.18909564816181,9
455,0.0,4.0,6.0,65.875,13.75,1.0,1.0361140820023138,0.569118340004934,8.0,4.0,71.0139447277425,9
456,0.0,4.0,7.0,56.0,14.25,1.0,1.119561954998062,0.5194340089947218,7.0,3.0,51.33584386433566,9
457,0.0,4.0,8.0,56.125,11.75,1.0,1.0014584680029657,0.6165369869995629,8.0,3.0,55.59045544498564,9
458,0.0,4.0,9.0,75.875,5.75,0.0,1.038580419990467,0.6665513920015655,0.0,3.0,71.51583284345436,9
459,0.0,4.0,10.0,38.75,4.0,1.0,1.1017762150004273,0.5349639600026421,12.0,2.0,38.06188804407121,9
460,0.0,4.0,11.0,28.75,16.0,0.0,1.5222379949991591,0.6532955550064798,0.0,6.0,37.09121635524409,9
